ID,채용 채널,이름,지원일,포지션,현황,HR,불합격 사유,서류심사,1차면접,2차면접,최종결과
APPS-179,원픽-잡코리아,후보001,2026년 7월 8일,B2B 영업 매니저 (3년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-178,잡코리아,후보002,2026년 7월 6일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 경력/역량 부족,불합격,,,
APPS-177,그룹바이,후보003,2026년 7월 3일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 경력/역량 부족,불합격,,,
APPS-176,원픽-잡코리아,후보004,2026년 7월 4일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-175,그룹바이,후보005,2026년 6월 29일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족,불합격 - 회사/지원자 FIT",불합격,,,
APPS-174,원티드,후보006,2026년 7월 1일,B2B 영업 매니저 (3년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-173,링크드인,후보007,2026년 3월 21일,B2B 영업 매니저 (3년 이상),인재풀 등록,No,,합격 (대면),불합격,,
APPS-172,링크드인,후보008,2026년 3월 23일,B2B 영업 매니저 (3년 이상),인재풀 등록,No,,불합격,,,
APPS-171,잡코리아,후보009,2026년 3월 3일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-170,잡코리아,후보010,2026년 3월 4일,B2B 영업 매니저 (3년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-169,사람인,후보011,2026년 3월 8일,B2B 영업 매니저 (3년 이상),종료,Yes,불합격 - 회사/지원자 FIT,불합격,,,
APPS-168,잡코리아,후보012,2026년 3월 7일,B2B 영업 매니저 (3년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-167,잡코리아,후보013,2026년 3월 7일,B2B 영업 매니저 (3년 이상),종료,Yes,불합격 - 회사/지원자 FIT,불합격,,,
APPS-166,잡코리아,후보014,2026년 3월 5일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 회사/지원자 FIT,불합격,,,
APPS-165,잡코리아,후보015,2026년 3월 8일,B2B 영업 매니저 (3년 이상),종료,No,,불합격,,,
APPS-164,잡코리아,후보016,2026년 3월 8일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 회사/지원자 FIT,불합격,,,
APPS-163,사람인,후보017,2026년 3월 10일,B2B 영업 매니저 (3년 이상),종료,Yes,불합격 - 회사/지원자 FIT,불합격,,,
APPS-162,잡코리아,후보018,2026년 3월 10일,B2B 영업 매니저 (3년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-161,잡코리아,후보019,2026년 3월 10일,B2B 영업 매니저 (3년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-160,잡코리아,후보020,2026년 3월 11일,B2B 영업 매니저 (3년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-159,잡코리아,후보021,2026년 3월 11일,B2B 영업 매니저 (3년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-158,잡코리아,후보022,2026년 3월 11일,B2B 영업 매니저 (3년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-157,잡코리아,후보023,2026년 3월 12일,B2B 영업 매니저 (3년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-156,잡코리아,후보024,2026년 3월 12일,B2B 영업 매니저 (3년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-155,잡코리아,후보025,2026년 3월 13일,B2B 영업 매니저 (3년 이상),종료,No,,불합격,,,
APPS-154,사람인,후보026,2026년 3월 10일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-153,사람인,후보027,2026년 3월 10일,B2B 영업 매니저 (3년 이상),종료,Yes,불합격 - 경력/역량 부족,불합격,,,
APPS-152,잡코리아,후보028,2026년 3월 18일,B2B 영업 매니저 (3년 이상),종료,No,,불합격,,,
APPS-151,사람인,후보029,2026년 3월 19일,B2B 영업 매니저 (3년 이상),종료,Yes,불합격 - 경력/역량 부족,불합격,,,
APPS-150,링크드인,후보030,2026년 3월 21일,B2B 영업 매니저 (3년 이상),종료,Yes,불합격 - 경력/역량 부족,불합격,,,
APPS-149,사람인,후보031,2026년 3월 24일,B2B 영업 매니저 (3년 이상),종료,No,,불합격,,,
APPS-148,링크드인,후보032,2026년 3월 24일,B2B 영업 매니저 (5년 이상),종료,No,,합격 (비대면),합격 (대면),불합격,
APPS-147,잡코리아,후보033,2026년 3월 29일,B2B 영업 매니저 (5년 이상),종료,No,,불합격,,,
APPS-146,잡코리아,후보034,2026년 3월 31일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-145,사람인,후보035,2026년 3월 31일,B2B 영업 매니저 (5년 이상),종료,No,,불합격,,,
APPS-144,잡코리아,후보036,2026년 3월 31일,B2B 영업 매니저 (3년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-143,잡코리아,후보037,2026년 3월 31일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-142,잡코리아,후보012,2026년 4월 1일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-141,잡코리아,후보038,2026년 4월 2일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-140,잡코리아,후보016,2026년 4월 2일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-139,잡코리아,후보039,2026년 4월 3일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-138,잡코리아,후보040,2026년 4월 3일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 회사/지원자 FIT,불합격,,,
APPS-137,잡코리아,후보041,2026년 4월 3일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-136,잡코리아,후보042,2026년 4월 6일,B2B 영업 매니저 (5년 이상),종료,No,,불합격,,,
APPS-135,사람인,후보043,2026년 4월 6일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-134,사람인,후보044,2026년 4월 7일,B2B 영업 매니저 (3년 이상),종료,No,,불합격,,,
APPS-133,잡코리아,후보045,2026년 4월 7일,B2B 영업 매니저 (3년 이상),종료,No,,불합격,,,
APPS-132,잡코리아,후보046,2026년 4월 8일,B2B 영업 매니저 (3년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-131,잡코리아,후보047,2026년 4월 7일,B2B 영업 매니저 (5년 이상),종료,No,,불합격,,,
APPS-130,잡코리아,후보048,2026년 4월 9일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-129,잡코리아,후보037,2026년 4월 8일,B2B 영업 매니저 (3년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-128,그룹바이,후보049,2026년 4월 8일,B2B 영업 매니저 (3년 이상),종료,No,,불합격,,,
APPS-127,사람인,후보050,2026년 4월 9일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-126,잡코리아,후보051,2026년 4월 10일,B2B 영업 매니저 (3년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-125,그룹바이,후보052,2026년 4월 9일,B2B 영업 매니저 (3년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-124,잡코리아,후보010,2026년 4월 16일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-123,원티드,후보053,2026년 4월 17일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-122,원티드,후보054,2026년 4월 17일,B2B 영업 매니저 (5년 이상),종료,No,,불합격,,,
APPS-121,원티드,후보055,2026년 4월 17일,B2B 영업 매니저 (5년 이상),종료,No,,불합격,,,
APPS-120,원티드,후보056,2026년 4월 19일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-119,원티드,후보057,2026년 4월 19일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-118,원티드,후보058,2026년 4월 19일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 회사/지원자 FIT,불합격,,,
APPS-117,원티드,후보059,2026년 4월 20일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-116,원티드,후보060,2026년 4월 20일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-115,원티드,후보061,2026년 4월 20일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-114,원티드,후보062,2026년 4월 21일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-113,원티드,후보063,2026년 4월 21일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 회사/지원자 FIT,불합격,,,
APPS-112,원티드,후보064,2026년 4월 21일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-111,잡코리아,후보010,2026년 4월 22일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-110,잡코리아,후보065,2026년 4월 22일,B2B 영업 매니저 (3년 이상),종료,No,,합격 (비대면),면접거절,,
APPS-109,잡코리아,후보066,2026년 4월 23일,B2B 영업 매니저 (3년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-108,사람인,후보003,2026년 4월 23일,B2B 영업 매니저 (5년 이상),종료,No,,불합격,,,
APPS-107,잡코리아,후보067,2026년 4월 27일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-106,원티드,후보068,2026년 4월 28일,B2B 영업 매니저 (5년 이상),종료,No,,불합격,,,
APPS-105,원티드,후보069,2026년 4월 29일,B2B 영업 매니저 (3년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-104,원티드,후보070,2026년 4월 29일,B2B 영업 매니저 (5년 이상),종료,No,,불합격,,,
APPS-103,잡코리아,후보016,2026년 4월 30일,B2B 영업 매니저 (5년 이상),종료,No,,불합격,,,
APPS-102,그룹바이,후보071,2026년 5월 3일,B2B 영업 매니저 (3년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-101,원티드,후보072,2026년 5월 3일,B2B 영업 매니저 (3년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-100,원티드,후보073,2026년 5월 5일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 회사/지원자 FIT,불합격,,,
APPS-99,원티드,후보069,2026년 5월 4일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-98,원티드,후보074,2026년 5월 6일,B2B 영업 매니저 (3년 이상),종료,Yes,불합격 - 경력/역량 부족,불합격,,,
APPS-97,원티드,후보075,2026년 5월 6일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-96,원티드,후보076,2026년 5월 6일,B2B 영업 매니저 (5년 이상),종료,No,,불합격,,,
APPS-95,원티드,후보077,2026년 5월 7일,B2B 영업 매니저 (3년 이상),종료,No,,합격 (비대면),합격,면접거절,
APPS-94,원티드,후보056,2026년 5월 7일,B2B 영업 매니저 (3년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-93,그룹바이,후보078,2026년 4월 30일,B2B 영업 매니저 (3년 이상),미채용,No,,합격 (외부추천-채용플랫폼),합격 (대면),합격,2026년 5월 13일
APPS-92,원티드,후보079,2026년 5월 8일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 경력/역량 부족,불합격,,,
APPS-91,원티드,후보080,2026년 5월 11일,B2B 영업 매니저 (5년 이상),종료,No,,불합격,,,
APPS-90,원티드,후보081,2026년 5월 11일,B2B 영업 매니저 (5년 이상),종료,No,,불합격,,,
APPS-89,원티드,후보082,2026년 5월 13일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 경력/역량 부족,불합격,,,
APPS-88,링크드인,후보083,2026년 5월 14일,B2B 영업 매니저 (5년 이상),종료,No,,불합격,,,
APPS-87,링크드인,후보084,2026년 5월 13일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 경력/역량 부족,불합격,,,
APPS-86,링크드인,후보085,2026년 5월 15일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-85,링크드인,후보086,2026년 5월 17일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 회사/지원자 FIT,불합격,,,
APPS-84,원티드,후보087,2026년 5월 15일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 회사/지원자 FIT,불합격,,,
APPS-83,원티드,후보088,2026년 5월 15일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 회사/지원자 FIT,불합격,,,
APPS-82,링크드인,후보089,2026년 5월 19일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 경력/역량 부족,불합격,,,
APPS-81,원티드,후보090,2026년 5월 20일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 회사/지원자 FIT,불합격,,,
APPS-80,원티드,후보091,2026년 5월 21일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-79,원티드,후보005,2026년 5월 21일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-78,잡코리아,후보092,2026년 5월 23일,B2B 영업 매니저 (3년 이상),종료,Yes,불합격 - 경력/역량 부족,불합격,,,
APPS-77,원픽-잡코리아,후보093,2026년 5월 26일,B2B 영업 매니저 (5년 이상),종료,No,,불합격,,,
APPS-76,원픽-잡코리아,후보037,2026년 5월 27일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-75,원픽-잡코리아,후보094,2026년 5월 28일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-74,원픽-잡코리아,후보095,2026년 5월 29일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-73,원픽-잡코리아,후보096,2026년 5월 29일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-72,원픽-잡코리아,후보097,2026년 5월 29일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-71,원픽-잡코리아,후보098,2026년 5월 29일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-70,원픽-잡코리아,후보099,2026년 5월 31일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-69,원픽-잡코리아,후보100,2026년 5월 31일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 회사/지원자 FIT,불합격,,,
APPS-68,원픽-잡코리아,후보041,2026년 6월 1일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-67,원픽-잡코리아,후보101,2026년 6월 1일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-66,링크드인,후보102,2026년 5월 26일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-65,원티드,후보103,2026년 5월 28일,B2B 영업 매니저 (5년 이상),종료,No,,불합격,,,
APPS-64,원티드,후보104,2026년 5월 29일,B2B 영업 매니저 (5년 이상),종료,No,,합격 (비대면),불합격,,
APPS-63,원티드,후보105,2026년 6월 1일,B2B 영업 매니저 (5년 이상),종료,No,,불합격,,,
APPS-62,그룹바이,후보106,2026년 5월 28일,B2B 영업 매니저 (3년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-61,그룹바이,후보107,2026년 6월 1일,B2B 영업 매니저 (3년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-60,원픽-잡코리아,후보040,2026년 6월 2일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-59,원픽-잡코리아,후보108,2026년 6월 2일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-58,원픽-잡코리아,후보109,2026년 6월 2일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
